customer_id,tenure_months,contract,internet_service,monthly_charges,total_charges,tech_support,online_security,paperless_billing,payment_method,num_support_calls,senior_citizen,partner,dependents,churn
CUST-00062,42,Month-to-month,DSL,60.48,2479.18,No,No,Yes,Credit card,4,0,No,No,0
CUST-00063,10,Month-to-month,Fiber optic,47.13,527.32,No,Yes,Yes,Bank transfer,0,0,Yes,Yes,0
CUST-00064,7,One year,Fiber optic,56.0,421.14,No,Yes,Yes,Mailed check,2,1,No,No,0
CUST-00065,18,Month-to-month,DSL,115.78,2212.55,Yes,Yes,Yes,Credit card,0,0,No,No,1
CUST-00066,3,Month-to-month,DSL,42.18,175.51,Yes,No,Yes,Bank transfer,2,0,No,No,0
CUST-00067,38,Month-to-month,DSL,58.03,2078.99,Yes,No,Yes,Bank transfer,1,0,Yes,No,0
CUST-00068,1,Two year,DSL,55.31,101.95,No,No,Yes,Bank transfer,1,0,Yes,No,0
CUST-00069,72,Month-to-month,No,58.82,4471.76,No,No,Yes,Electronic check,2,0,Yes,Yes,0
CUST-00070,35,One year,No,56.72,1900.06,Yes,No,Yes,Electronic check,2,0,No,No,0
CUST-00071,5,One year,No,71.98,390.05,Yes,No,Yes,Electronic check,2,0,Yes,No,0
CUST-00072,0,Month-to-month,DSL,22.25,22.92,No,No,Yes,Electronic check,0,0,No,No,1
CUST-00073,40,Month-to-month,Fiber optic,90.93,3513.19,Yes,Yes,Yes,Electronic check,2,0,Yes,No,1
CUST-00074,29,Two year,No,80.81,2290.36,No,Yes,No,Mailed check,2,0,Yes,No,0
CUST-00075,31,Month-to-month,Fiber optic,33.93,1014.14,No,No,No,Electronic check,2,1,Yes,No,1
CUST-00076,35,One year,Fiber optic,18.0,672.4,No,No,Yes,Credit card,0,0,Yes,No,0
CUST-00077,1,Month-to-month,Fiber optic,40.57,82.45,Yes,No,Yes,Bank transfer,3,0,Yes,No,1
CUST-00078,10,Month-to-month,Fiber optic,58.93,641.44,No,No,Yes,Bank transfer,1,0,Yes,Yes,0
CUST-00079,2,Month-to-month,No,120.0,348.48,Yes,Yes,No,Mailed check,2,0,Yes,No,1
CUST-00080,47,Month-to-month,DSL,78.58,3475.86,No,Yes,Yes,Electronic check,6,0,Yes,No,1
CUST-00081,23,Month-to-month,DSL,19.81,493.93,Yes,No,Yes,Mailed check,1,0,No,No,0
CUST-00082,9,Two year,DSL,47.76,483.55,No,No,Yes,Bank transfer,1,1,Yes,No,0
CUST-00083,1,Month-to-month,DSL,63.67,119.93,No,Yes,No,Bank transfer,2,1,Yes,Yes,0
CUST-00084,8,Month-to-month,Fiber optic,71.34,669.11,Yes,No,No,Electronic check,0,0,No,No,1
CUST-00085,9,Month-to-month,DSL,32.13,334.24,No,Yes,Yes,Bank transfer,1,0,Yes,No,0
CUST-00086,31,One year,DSL,61.63,1970.05,No,No,Yes,Bank transfer,3,0,No,No,0
CUST-00087,24,Month-to-month,Fiber optic,47.06,1232.68,Yes,No,No,Bank transfer,0,0,Yes,No,0
CUST-00088,52,One year,DSL,37.41,1840.15,Yes,Yes,Yes,Electronic check,2,0,No,No,0
CUST-00089,15,Month-to-month,Fiber optic,71.49,1154.95,No,Yes,Yes,Mailed check,0,0,Yes,No,1
CUST-00090,3,Month-to-month,Fiber optic,84.35,311.36,No,Yes,No,Mailed check,0,0,Yes,No,1
CUST-00091,29,Month-to-month,Fiber optic,86.03,2590.59,No,No,Yes,Mailed check,1,0,No,No,0
CUST-00092,34,Two year,Fiber optic,79.36,2883.09,No,No,Yes,Mailed check,3,0,Yes,Yes,0
CUST-00093,19,Month-to-month,No,52.57,1030.81,No,Yes,Yes,Electronic check,4,0,No,No,1
CUST-00094,35,Month-to-month,No,82.86,3026.09,No,No,No,Electronic check,0,1,Yes,No,0
CUST-00095,16,Month-to-month,Fiber optic,72.73,1139.31,No,Yes,Yes,Electronic check,4,0,Yes,No,0
CUST-00096,17,Two year,DSL,68.35,1224.12,Yes,Yes,No,Electronic check,2,0,No,No,0
CUST-00097,13,Month-to-month,DSL,49.71,632.94,No,Yes,Yes,Electronic check,0,1,Yes,No,1
CUST-00098,0,Month-to-month,Fiber optic,52.58,47.61,Yes,Yes,No,Electronic check,1,0,No,Yes,1
CUST-00099,2,Month-to-month,Fiber optic,66.85,199.57,Yes,No,No,Electronic check,1,0,Yes,No,0
CUST-00100,0,Month-to-month,No,120.0,118.31,No,Yes,Yes,Bank transfer,3,0,No,No,1
CUST-00101,24,One year,DSL,72.53,1721.48,No,No,Yes,Credit card,1,0,Yes,Yes,0
CUST-00102,9,One year,No,49.72,485.73,Yes,No,No,Electronic check,1,0,No,No,0
CUST-00103,17,Month-to-month,Fiber optic,44.19,797.53,Yes,No,No,Electronic check,1,1,Yes,Yes,1
CUST-00104,57,Month-to-month,DSL,52.71,3047.12,No,No,Yes,Credit card,1,0,No,No,0
CUST-00105,6,Month-to-month,Fiber optic,119.43,761.64,No,No,No,Bank transfer,1,1,No,No,1
CUST-00106,12,Month-to-month,Fiber optic,55.02,716.49,No,No,Yes,Electronic check,2,0,Yes,Yes,1
CUST-00107,33,Month-to-month,DSL,87.67,2977.59,No,Yes,Yes,Bank transfer,2,0,No,No,1
CUST-00108,6,One year,Fiber optic,55.6,389.37,Yes,No,No,Electronic check,0,0,No,No,1
CUST-00109,1,Two year,Fiber optic,71.53,146.94,Yes,No,Yes,Bank transfer,3,0,No,No,0
CUST-00110,8,Two year,Fiber optic,84.79,752.81,Yes,No,Yes,Credit card,3,0,Yes,No,0
CUST-00111,4,Two year,Fiber optic,50.7,263.81,Yes,No,No,Electronic check,1,1,Yes,Yes,1
CUST-00112,63,One year,DSL,48.97,3281.39,No,No,No,Credit card,0,0,Yes,No,0
CUST-00113,39,One year,DSL,106.47,4313.21,Yes,No,No,Electronic check,1,0,Yes,No,0
CUST-00114,24,Month-to-month,Fiber optic,89.61,2136.76,Yes,Yes,No,Mailed check,2,1,No,No,0
CUST-00115,49,One year,Fiber optic,84.77,3905.63,No,Yes,No,Mailed check,2,0,No,Yes,0
CUST-00116,39,Month-to-month,Fiber optic,84.68,3465.18,No,No,Yes,Bank transfer,3,0,Yes,Yes,1
CUST-00117,4,Month-to-month,DSL,76.49,352.62,No,Yes,Yes,Electronic check,3,0,No,No,0
CUST-00118,53,One year,Fiber optic,115.44,5747.06,No,No,Yes,Bank transfer,2,0,Yes,Yes,0
CUST-00119,18,Month-to-month,DSL,66.1,1303.44,Yes,No,Yes,Bank transfer,2,0,Yes,No,0
CUST-00120,39,Month-to-month,Fiber optic,79.43,3126.3,No,No,No,Mailed check,2,0,No,No,0
CUST-00121,54,Two year,Fiber optic,28.73,1491.66,Yes,No,Yes,Electronic check,1,0,No,No,0
CUST-00122,9,Month-to-month,No,44.38,463.53,No,No,Yes,Electronic check,0,0,No,No,0
CUST-00123,2,Month-to-month,DSL,34.98,105.58,No,No,No,Bank transfer,2,1,No,Yes,1
CUST-00124,6,Two year,Fiber optic,96.85,664.54,No,Yes,Yes,Credit card,1,0,Yes,No,0
CUST-00125,13,One year,No,18.0,239.25,No,No,Yes,Mailed check,1,0,Yes,Yes,0
CUST-00126,40,Month-to-month,DSL,54.94,2255.9,No,No,Yes,Bank transfer,0,0,No,No,0
CUST-00127,47,Month-to-month,No,18.0,872.32,No,No,No,Electronic check,0,0,Yes,No,0
CUST-00128,0,Month-to-month,DSL,44.22,44.52,Yes,No,Yes,Mailed check,3,0,No,No,1
CUST-00129,17,Two year,DSL,52.73,882.04,No,Yes,Yes,Electronic check,1,0,Yes,Yes,0
CUST-00130,12,One year,No,99.62,1301.0,Yes,No,Yes,Bank transfer,0,1,No,No,0
CUST-00131,6,Month-to-month,Fiber optic,74.92,517.74,No,No,Yes,Credit card,4,0,No,No,1
CUST-00132,3,Month-to-month,DSL,44.17,181.54,Yes,No,Yes,Credit card,1,0,No,No,1
CUST-00133,9,Month-to-month,DSL,91.65,910.74,Yes,No,No,Electronic check,1,0,No,Yes,0
CUST-00134,68,Two year,Fiber optic,65.45,4163.53,No,No,Yes,Bank transfer,2,0,Yes,No,0
CUST-00135,9,Month-to-month,Fiber optic,65.94,624.97,Yes,No,Yes,Electronic check,0,0,Yes,Yes,0
CUST-00136,17,One year,Fiber optic,34.93,636.02,No,No,No,Electronic check,3,1,No,No,1
CUST-00137,29,Month-to-month,DSL,40.25,1220.78,Yes,Yes,No,Electronic check,3,0,Yes,No,1
CUST-00138,10,One year,DSL,44.37,455.57,No,No,Yes,Electronic check,1,0,No,No,0
CUST-00139,72,Two year,DSL,66.16,4603.6,No,Yes,Yes,Bank transfer,1,0,Yes,Yes,0
CUST-00140,72,One year,Fiber optic,66.95,4409.85,No,Yes,No,Mailed check,1,0,No,Yes,0
CUST-00141,6,Month-to-month,DSL,103.6,688.76,Yes,No,Yes,Credit card,1,0,Yes,Yes,0
CUST-00142,16,One year,No,74.63,1146.85,Yes,Yes,Yes,Electronic check,2,0,No,No,0
CUST-00143,8,One year,Fiber optic,18.0,167.01,No,No,Yes,Mailed check,0,0,Yes,Yes,0
CUST-00144,8,Month-to-month,DSL,71.57,644.13,Yes,Yes,Yes,Electronic check,2,0,Yes,No,1
CUST-00145,0,Two year,DSL,28.75,30.05,Yes,No,No,Electronic check,1,0,Yes,Yes,0
CUST-00146,22,One year,DSL,40.85,971.3,No,Yes,Yes,Credit card,1,1,No,Yes,0
CUST-00147,16,Two year,DSL,44.7,752.7,No,No,Yes,Mailed check,0,0,No,No,0
CUST-00148,1,One year,No,48.42,94.46,Yes,No,No,Credit card,1,0,Yes,No,0
CUST-00149,7,Month-to-month,Fiber optic,30.62,252.94,Yes,No,Yes,Mailed check,0,0,Yes,Yes,0
CUST-00150,57,Month-to-month,No,70.09,3840.67,Yes,No,Yes,Electronic check,2,0,Yes,No,0
CUST-00151,6,Month-to-month,Fiber optic,29.73,194.28,No,Yes,Yes,Electronic check,4,0,No,No,1
CUST-00152,3,Two year,Fiber optic,73.92,284.3,Yes,Yes,No,Credit card,1,0,No,No,0
CUST-00153,16,One year,Fiber optic,120.0,1852.28,No,No,Yes,Electronic check,2,0,Yes,No,0
CUST-00154,72,One year,DSL,31.77,2192.34,Yes,No,No,Credit card,1,0,No,No,0
CUST-00155,6,Month-to-month,Fiber optic,57.89,369.79,Yes,Yes,Yes,Mailed check,1,0,Yes,No,1
CUST-00156,26,Month-to-month,Fiber optic,18.0,441.24,No,Yes,No,Electronic check,1,0,Yes,No,1
CUST-00157,34,One year,Fiber optic,57.48,1977.0,Yes,No,No,Bank transfer,0,0,Yes,No,0
CUST-00158,6,Month-to-month,No,81.07,571.02,No,No,No,Electronic check,2,0,No,No,0
CUST-00159,31,Month-to-month,No,83.02,2604.84,No,No,Yes,Electronic check,1,0,No,No,1
CUST-00160,11,One year,DSL,66.93,731.35,Yes,Yes,Yes,Credit card,0,1,Yes,No,0
CUST-00161,24,Month-to-month,DSL,87.23,2091.87,No,No,Yes,Mailed check,2,0,No,No,0
CUST-00162,24,Month-to-month,DSL,120.0,2749.93,Yes,Yes,Yes,Mailed check,2,0,Yes,No,0
CUST-00163,18,Month-to-month,Fiber optic,107.81,2043.29,Yes,No,Yes,Electronic check,1,1,Yes,No,1
CUST-00164,2,Month-to-month,No,51.94,159.55,Yes,No,Yes,Electronic check,1,0,No,No,1
CUST-00165,43,Two year,Fiber optic,28.72,1159.43,No,No,No,Mailed check,2,0,No,No,0
CUST-00166,9,Month-to-month,Fiber optic,54.85,499.15,Yes,No,No,Mailed check,2,1,Yes,Yes,1
CUST-00167,4,Month-to-month,Fiber optic,41.33,198.57,No,Yes,Yes,Bank transfer,1,0,No,Yes,0
CUST-00168,0,Month-to-month,DSL,76.28,72.12,No,No,Yes,Mailed check,0,0,No,No,0
CUST-00169,21,One year,DSL,35.47,732.82,Yes,No,No,Bank transfer,2,0,Yes,Yes,0
CUST-00170,27,Month-to-month,DSL,63.18,1648.23,No,Yes,Yes,Electronic check,1,1,Yes,No,1
CUST-00171,0,One year,Fiber optic,85.95,81.44,No,Yes,Yes,Electronic check,3,0,Yes,No,0
CUST-00172,17,Month-to-month,DSL,62.48,1175.03,No,No,Yes,Electronic check,0,1,No,No,1
CUST-00173,6,Month-to-month,Fiber optic,41.34,297.67,No,No,Yes,Bank transfer,0,0,No,Yes,0
CUST-00174,24,Month-to-month,Fiber optic,94.37,2336.14,No,No,No,Bank transfer,0,0,Yes,Yes,0
CUST-00175,4,Two year,Fiber optic,18.03,91.96,Yes,No,No,Electronic check,5,1,Yes,No,1
CUST-00176,28,Two year,DSL,56.81,1486.38,No,No,Yes,Electronic check,0,0,No,No,0
CUST-00177,11,Month-to-month,Fiber optic,63.96,703.6,No,No,Yes,Bank transfer,2,1,No,Yes,1
CUST-00178,66,Month-to-month,DSL,65.4,4135.85,No,No,Yes,Credit card,1,0,No,Yes,0
CUST-00179,3,Two year,DSL,69.51,277.09,No,No,No,Bank transfer,2,1,Yes,Yes,1
CUST-00180,10,Month-to-month,DSL,80.26,911.56,No,No,No,Electronic check,1,1,No,No,0
CUST-00181,2,Two year,DSL,64.11,179.77,No,Yes,Yes,Bank transfer,2,0,Yes,No,0
CUST-00182,62,Month-to-month,Fiber optic,55.8,3237.26,No,No,No,Bank transfer,1,0,No,No,0
CUST-00183,50,Two year,Fiber optic,54.81,2871.31,Yes,No,Yes,Electronic check,3,0,No,No,1
CUST-00184,7,One year,DSL,49.71,382.32,No,Yes,Yes,Mailed check,2,0,No,No,0
CUST-00185,25,Two year,DSL,84.69,2212.79,Yes,Yes,No,Electronic check,0,0,Yes,No,0
CUST-00186,40,One year,No,48.84,1966.81,No,No,Yes,Electronic check,4,0,No,No,0
CUST-00187,19,Month-to-month,No,86.17,1596.53,Yes,No,Yes,Credit card,1,0,No,Yes,0
CUST-00188,18,Two year,Fiber optic,65.47,1250.26,Yes,No,No,Credit card,7,0,No,No,1
CUST-00189,6,Month-to-month,Fiber optic,51.97,350.37,Yes,No,Yes,Mailed check,0,1,No,Yes,0
CUST-00190,2,Month-to-month,DSL,80.46,227.66,No,Yes,Yes,Electronic check,3,0,Yes,No,1
CUST-00191,54,One year,Fiber optic,46.81,2665.7,Yes,No,Yes,Bank transfer,2,0,Yes,No,0
CUST-00192,55,One year,Fiber optic,80.95,4083.95,No,Yes,Yes,Electronic check,5,0,Yes,Yes,0
CUST-00193,24,Two year,No,70.32,1688.96,Yes,No,Yes,Electronic check,0,0,No,Yes,0
CUST-00194,9,Month-to-month,Fiber optic,50.09,473.39,No,No,Yes,Mailed check,3,1,Yes,No,1
CUST-00195,10,One year,No,78.22,781.41,Yes,No,No,Mailed check,1,0,Yes,No,0
CUST-00196,31,One year,DSL,78.66,2295.77,Yes,No,No,Electronic check,1,0,No,Yes,1
CUST-00197,54,Month-to-month,DSL,93.94,4783.55,No,No,Yes,Bank transfer,0,0,No,Yes,0
CUST-00198,52,Month-to-month,Fiber optic,89.15,4610.37,No,No,Yes,Electronic check,1,0,Yes,No,0
CUST-00199,36,Month-to-month,Fiber optic,77.28,2694.65,Yes,No,No,Credit card,2,0,No,No,0
CUST-00200,24,Month-to-month,DSL,36.81,943.88,No,No,No,Credit card,0,0,No,No,0
CUST-00201,2,Two year,Fiber optic,120.0,336.96,No,No,Yes,Bank transfer,1,0,No,No,0
CUST-00202,4,One year,Fiber optic,29.91,150.75,Yes,Yes,No,Mailed check,2,0,No,No,0
CUST-00203,54,One year,Fiber optic,88.73,4546.14,Yes,No,Yes,Electronic check,1,1,Yes,Yes,0
CUST-00204,22,Two year,Fiber optic,75.78,1579.77,No,No,No,Bank transfer,1,0,No,Yes,0
CUST-00205,0,Month-to-month,Fiber optic,35.65,33.5,Yes,Yes,Yes,Credit card,1,0,No,No,1
CUST-00206,2,Two year,DSL,61.89,190.43,No,No,No,Electronic check,2,0,Yes,No,0
CUST-00207,26,Month-to-month,Fiber optic,63.03,1552.63,No,Yes,Yes,Mailed check,0,1,No,No,1
CUST-00208,0,Two year,Fiber optic,97.64,92.92,No,No,No,Electronic check,4,1,No,No,1
CUST-00209,4,Month-to-month,DSL,47.17,212.55,No,Yes,Yes,Mailed check,0,0,Yes,Yes,0
CUST-00210,19,Two year,No,58.45,1162.61,No,No,Yes,Mailed check,2,1,Yes,No,0
CUST-00211,28,Month-to-month,Fiber optic,18.0,543.62,Yes,No,No,Credit card,3,1,Yes,No,0
CUST-00212,25,Month-to-month,Fiber optic,108.37,2698.31,No,No,No,Electronic check,2,0,Yes,No,1
CUST-00213,6,One year,DSL,38.24,264.08,No,Yes,No,Mailed check,2,0,Yes,No,0
CUST-00214,29,Month-to-month,No,73.17,2124.51,Yes,Yes,Yes,Credit card,2,0,Yes,Yes,0
CUST-00215,6,One year,DSL,62.46,457.33,No,Yes,No,Mailed check,1,0,No,No,0
CUST-00216,9,Month-to-month,DSL,62.55,632.01,Yes,No,No,Credit card,1,0,No,Yes,0
CUST-00217,32,One year,Fiber optic,85.25,2550.59,Yes,Yes,Yes,Electronic check,2,0,Yes,No,0
CUST-00218,25,Month-to-month,DSL,106.78,2543.93,No,No,Yes,Credit card,0,1,No,Yes,0
CUST-00219,45,Month-to-month,Fiber optic,71.29,3182.84,No,No,No,Electronic check,1,0,No,No,1
CUST-00220,25,Month-to-month,DSL,81.38,2104.8,No,No,No,Credit card,2,0,Yes,Yes,0
CUST-00221,20,Month-to-month,DSL,73.22,1450.84,Yes,Yes,No,Electronic check,0,0,No,Yes,0
CUST-00222,2,Month-to-month,No,90.44,271.64,No,No,No,Mailed check,0,0,No,Yes,0
CUST-00223,11,Month-to-month,Fiber optic,53.43,632.49,Yes,Yes,No,Electronic check,0,0,No,Yes,1
CUST-00224,7,Month-to-month,Fiber optic,91.88,709.51,No,No,No,Mailed check,2,0,Yes,Yes,1
CUST-00225,6,Month-to-month,DSL,92.76,641.1,No,No,No,Electronic check,0,0,Yes,Yes,0
CUST-00226,72,One year,DSL,92.06,6972.19,No,Yes,No,Credit card,1,0,Yes,No,0
CUST-00227,11,Two year,DSL,48.5,545.03,No,Yes,No,Electronic check,1,0,Yes,Yes,0
CUST-00228,53,Month-to-month,Fiber optic,60.79,3343.99,No,No,Yes,Bank transfer,0,0,Yes,No,0
CUST-00229,23,One year,Fiber optic,70.99,1536.44,No,No,Yes,Electronic check,2,0,Yes,Yes,1
CUST-00230,38,One year,DSL,30.73,1093.87,No,No,Yes,Credit card,1,0,Yes,No,0
CUST-00231,16,Month-to-month,Fiber optic,104.87,1858.47,No,No,No,Mailed check,2,0,No,No,1
CUST-00232,20,One year,No,64.69,1364.82,No,No,Yes,Credit card,1,0,No,No,0
CUST-00233,16,Month-to-month,DSL,72.1,1219.57,No,No,Yes,Mailed check,4,0,Yes,Yes,0
CUST-00234,5,Month-to-month,DSL,50.57,288.28,No,No,Yes,Electronic check,3,1,No,Yes,1
CUST-00235,30,Month-to-month,DSL,31.83,915.34,Yes,No,No,Electronic check,3,0,No,No,0
CUST-00236,7,One year,DSL,49.9,382.03,Yes,No,No,Bank transfer,4,1,Yes,No,0
CUST-00237,0,One year,Fiber optic,70.48,69.76,No,Yes,No,Bank transfer,0,0,No,No,1
CUST-00238,24,Month-to-month,No,81.84,2036.09,No,No,Yes,Bank transfer,1,0,No,No,0
CUST-00239,4,Month-to-month,Fiber optic,69.04,319.46,No,Yes,Yes,Electronic check,2,0,Yes,No,1
CUST-00240,67,Two year,DSL,73.67,4843.37,Yes,Yes,Yes,Bank transfer,4,0,Yes,No,0
CUST-00241,72,Month-to-month,Fiber optic,56.57,4067.72,Yes,No,Yes,Credit card,1,1,Yes,No,0
CUST-00242,59,Month-to-month,DSL,77.41,4848.94,No,No,No,Electronic check,0,0,Yes,No,1
CUST-00243,11,Two year,Fiber optic,102.07,1203.3,No,Yes,Yes,Electronic check,0,0,No,No,0
CUST-00244,0,One year,Fiber optic,82.62,81.55,Yes,No,Yes,Bank transfer,1,0,No,No,1
CUST-00245,63,One year,No,85.24,5535.98,No,No,Yes,Electronic check,1,0,Yes,No,0
CUST-00246,13,One year,Fiber optic,72.35,975.26,No,Yes,Yes,Bank transfer,2,1,No,No,1
CUST-00247,72,Two year,DSL,27.42,1916.75,Yes,No,Yes,Mailed check,2,0,Yes,No,0
CUST-00248,72,Month-to-month,No,38.88,2805.99,Yes,No,Yes,Credit card,2,1,Yes,No,0
CUST-00249,46,Month-to-month,Fiber optic,76.37,3652.19,Yes,Yes,Yes,Credit card,0,0,Yes,No,0
CUST-00250,8,Month-to-month,DSL,64.73,580.03,Yes,No,Yes,Bank transfer,1,0,Yes,No,1
CUST-00251,11,Two year,Fiber optic,76.0,846.26,No,No,Yes,Electronic check,1,0,Yes,No,1
CUST-00252,45,One year,Fiber optic,106.91,4719.45,Yes,No,No,Electronic check,3,0,No,Yes,0
CUST-00253,9,Month-to-month,Fiber optic,83.15,812.28,Yes,Yes,No,Credit card,3,0,Yes,No,0
CUST-00254,4,Two year,No,96.47,472.01,No,No,Yes,Bank transfer,3,0,No,Yes,1
